session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61522cef55cd0bad272b54a5,masked_for_anonoymity,APPROVED,2021-09-27T20:43:29.401Z,2021-09-27T21:14:43.377Z,1873.976,,4,0,100,2021-09-28T11:09:11.938Z,807F37DE,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED
61522cf1737d508803f9ec03,masked_for_anonoymity,RETURNED,2021-09-27T20:43:33.049Z,,1269402.350993,45,61,0,100,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61522cf37190ee0fef85e2be,masked_for_anonoymity,APPROVED,2021-09-27T20:44:09.890Z,2021-09-27T21:19:50.931Z,2141.041,42,73,1,100,2021-09-28T11:09:12.019Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61522cf40378e5200fad397a,masked_for_anonoymity,APPROVED,2021-09-27T20:45:17.925Z,2021-09-27T21:28:54.759Z,2616.834,36,49,1,100,2021-09-28T11:09:12.086Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522d003aee0fd44e1a59f8,masked_for_anonoymity,APPROVED,2021-09-27T20:44:38.816Z,2021-09-27T21:16:59.862Z,1941.046,35,61,2,99,2021-09-28T11:09:12.159Z,807F37DE,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
61522d01a14cc07aa85cbecd,masked_for_anonoymity,APPROVED,2021-09-27T20:43:52.020Z,2021-09-27T21:12:41.235Z,1729.215,20,163,2,99,2021-09-28T11:09:12.254Z,807F37DE,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
61522d076fb466729bf755fe,masked_for_anonoymity,APPROVED,2021-09-27T20:43:55.839Z,2021-09-27T21:41:27.516Z,3451.677,27,180,4,98,2021-09-28T11:09:12.327Z,807F37DE,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
61522d0d189c92887ceb1e29,masked_for_anonoymity,APPROVED,2021-09-27T20:44:00.109Z,2021-09-27T21:25:38.499Z,2498.39,43,40,1,100,2021-09-28T11:09:12.403Z,807F37DE,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
61522d10d56e0f43341bfff5,masked_for_anonoymity,APPROVED,2021-09-27T20:44:06.242Z,2021-09-27T21:21:48.909Z,2262.667,29,64,0,100,2021-09-28T11:09:12.494Z,807F37DE,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
61522d24c24b4afd459ab366,masked_for_anonoymity,APPROVED,2021-09-27T20:44:21.979Z,2021-09-27T21:27:41.094Z,2599.115,25,23,0,100,2021-09-28T11:09:12.582Z,807F37DE,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
61522d280fb4c2fea808e58c,masked_for_anonoymity,APPROVED,2021-09-27T20:44:26.969Z,2021-09-27T21:49:09.592Z,3882.623,40,127,0,100,2021-09-28T11:09:12.662Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522d2bed5dc958d5eab07a,masked_for_anonoymity,APPROVED,2021-09-27T20:44:29.359Z,2021-09-27T20:59:29.958Z,900.599,19,78,0,100,2021-09-28T11:09:12.754Z,807F37DE,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
61522d362d2d9dfb1568c792,masked_for_anonoymity,APPROVED,2021-09-27T20:44:40.646Z,2021-09-27T21:43:11.095Z,3510.449,25,29,0,100,2021-09-28T11:09:12.846Z,807F37DE,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,No
61522d3e7870d26be8d1aced,masked_for_anonoymity,TIMED-OUT,2021-09-27T20:44:49.698Z,,1269325.935552,32,32,0,100,,"",United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
61522d52acc03ff98208b808,masked_for_anonoymity,APPROVED,2021-09-27T20:45:33.779Z,2021-09-27T21:28:29.023Z,2575.244,27,46,0,100,2021-09-28T11:09:12.941Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522d5a702afb5da542bcb9,masked_for_anonoymity,APPROVED,2021-09-27T20:45:16.118Z,2021-09-27T21:17:58.520Z,1962.402,34,8,0,100,2021-09-28T11:09:13.014Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522d676399599092a0cb2f,masked_for_anonoymity,APPROVED,2021-09-27T20:45:29.875Z,2021-09-27T21:09:04.938Z,1415.063,32,62,0,100,2021-09-28T11:09:13.100Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522d6acecf320844418fd8,masked_for_anonoymity,APPROVED,2021-09-27T20:45:36.449Z,2021-09-27T21:37:12.945Z,3096.496,20,36,0,100,2021-09-28T11:09:13.167Z,807F37DE,Poland,United Kingdom,Unemployed (and job seeking),French,France,Female,Yes
61522d6b9e47b49c32b72c9e,masked_for_anonoymity,RETURNED,2021-09-27T20:45:38.731Z,,1269276.997418,32,45,0,100,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61522d752adc4687a02a8296,masked_for_anonoymity,RETURNED,2021-09-27T20:45:41.421Z,,1269274.324881,24,24,1,99,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61522d76fcfd0bc8b1b9e28d,masked_for_anonoymity,RETURNED,2021-09-27T20:45:49.635Z,,1269266.128474,33,46,0,100,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61522d7820fe8961e1a19bb0,masked_for_anonoymity,APPROVED,2021-09-27T20:45:46.505Z,2021-09-27T21:36:05.876Z,3019.371,20,33,1,99,2021-09-28T11:09:13.257Z,807F37DE,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,Yes
61522d81185fc91f98700bd8,masked_for_anonoymity,APPROVED,2021-09-27T20:45:55.683Z,2021-09-27T21:10:10.137Z,1454.454,30,17,0,100,2021-09-28T11:09:13.362Z,807F37DE,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,Yes
61522d910d1a2f1ea423d9e4,masked_for_anonoymity,RETURNED,2021-09-27T20:46:11.597Z,,1269244.216526,41,61,0,100,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61522d913ac3ea36ca1b3363,masked_for_anonoymity,APPROVED,2021-09-27T20:46:15.449Z,2021-09-27T21:26:45.791Z,2430.342,42,41,1,100,2021-09-28T11:09:13.455Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522d96722c7141b6a9abf7,masked_for_anonoymity,APPROVED,2021-09-27T20:46:16.011Z,2021-09-27T21:12:01.576Z,1545.565,38,6,0,100,2021-09-28T11:09:13.540Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522d996dd5e508adc48a37,masked_for_anonoymity,APPROVED,2021-09-27T20:46:27.215Z,2021-09-27T21:15:57.724Z,1770.509,33,33,0,100,2021-09-28T11:09:13.626Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61522d9bd31402c9d55e6d42,masked_for_anonoymity,RETURNED,2021-09-27T20:46:22.028Z,,1269233.866718,23,26,0,100,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61522da4ab4c483b4d14229e,masked_for_anonoymity,APPROVED,2021-09-27T20:46:45.048Z,2021-09-27T21:59:11.382Z,4346.334,41,41,2,96,2021-09-28T11:09:13.710Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
